CODE	NAME	CREDIT	SECTION	FACULTY	SEAT
CSE115	C Programming	3	1	TBA	40
CSE115	C Programming	3	2	TBA	40
CSE115	C Programming	3	3	TBA	40
CSE115	C Programming	3	4	TBA	40
CSE115	C Programming	3	5	TBA	40
CSE115	C Programming	3	6	TBA	40
CSE115	C Programming	3	7	TBA	40
CSE215	JAVA	3	1	TBA	40
CSE215	JAVA	3	2	TBA	40
CSE215	JAVA	3	3	TBA	40
CSE215	JAVA	3	4	TBA	40
CSE215	JAVA	3	5	TBA	40
CSE215	JAVA	3	6	TBA	40
CSE215	JAVA	3	7	TBA	40
CSE215	JAVA	3	8	TBA	40
CSE215	JAVA	3	9	TBA	40
CSE215	JAVA	3	10	TBA	40
CSE215	JAVA	3	11	TBA	40
CSE225	Data Structure	3	1	TBA	40
CSE225	Data Structure	3	2	TBA	40
CSE225	Data Structure	3	3	TBA	40
CSE225	Data Structure	3	4	TBA	40
CSE225	Data Structure	3	5	TBA	40
CSE225	Data Structure	3	6	TBA	40
CSE231	DLD	3	1	TBA	40
CSE231	DLD	3	2	TBA	40
CSE231	DLD	3	3	TBA	40
CSE231	DLD	3	4	TBA	40
CSE231	DLD	3	5	TBA	40
CSE231	DLD	3	6	TBA	40
CSE231	DLD	3	7	TBA	40
CSE231	DLD	3	8	TBA	40
CSE231	DLD	3	9	TBA	40
CSE311	DBMS	3	1	TBA	40
CSE311	DBMS	3	2	TBA	40
CSE311	DBMS	3	3	TBA	40
CSE311	DBMS	3	4	TBA	40
CSE311	DBMS	3	5	TBA	40
CSE332	Computer Architecture	3	1	TBA	40
CSE332	Computer Architecture	3	2	TBA	40
CSE332	Computer Architecture	3	3	TBA	40
CSE332	Computer Architecture	3	4	TBA	40
CSE332	Computer Architecture	3	5	TBA	40
CSE332	Computer Architecture	3	6	TBA	40
CSE332	Computer Architecture	3	7	TBA	40
CSE331	Microprocessor	3	1	TBA	40
CSE331	Microprocessor	3	2	TBA	40
CSE331	Microprocessor	3	3	TBA	40
CSE331	Microprocessor	3	4	TBA	40
CSE331	Microprocessor	3	5	TBA	40
CSE331	Microprocessor	3	6	TBA	40
CSE440	AI	3	1	TBA	40
CSE440	AI	3	2	TBA	40
CSE445	ML	3	1	TBA	40
CSE445	ML	3	2	TBA	40
CSE445	ML	3	3	TBA	40
CSE465	Neural Network	3	1	TBA	40
CSE465	Neural Network	3	2	TBA	40
CSE465	Neural Network	3	3	TBA	40
MAT116	Pre-Calculas	3	1	TBA	40
MAT116	Pre-Calculas	3	2	TBA	40
MAT116	Pre-Calculas	3	3	TBA	40
MAT116	Pre-Calculas	3	4	TBA	40
MAT116	Pre-Calculas	3	5	TBA	40
MAT116	Pre-Calculas	3	6	TBA	40
MAT116	Pre-Calculas	3	7	TBA	40
MAT116	Pre-Calculas	3	8	TBA	40
MAT116	Pre-Calculas	3	9	TBA	40
MAT116	Pre-Calculas	3	10	TBA	40
MAT116	Pre-Calculas	3	11	TBA	40
MAT116	Pre-Calculas	3	12	TBA	40
MAT116	Pre-Calculas	3	13	TBA	40
MAT116	Pre-Calculas	3	14	TBA	40
MAT116	Pre-Calculas	3	15	TBA	40
MAT116	Pre-Calculas	3	16	TBA	40
MAT116	Pre-Calculas	3	17	TBA	40
MAT120	Calculas-I	3	1	TBA	40
MAT120	Calculas-I	3	2	TBA	40
MAT120	Calculas-I	3	3	TBA	40
MAT120	Calculas-I	3	4	TBA	40
MAT120	Calculas-I	3	5	TBA	40
MAT120	Calculas-I	3	6	TBA	40
MAT120	Calculas-I	3	7	TBA	40
MAT120	Calculas-I	3	8	TBA	40
MAT120	Calculas-I	3	9	TBA	40
MAT120	Calculas-I	3	10	TBA	40
MAT120	Calculas-I	3	11	TBA	40
MAT120	Calculas-I	3	12	TBA	40
MAT130	Calculas-II	3	1	TBA	40
MAT130	Calculas-II	3	2	TBA	40
MAT130	Calculas-II	3	3	TBA	40
MAT130	Calculas-II	3	4	TBA	40
MAT130	Calculas-II	3	5	TBA	40
MAT130	Calculas-II	3	6	TBA	40
MAT130	Calculas-II	3	7	TBA	40
MAT130	Calculas-II	3	8	TBA	40
MAT130	Calculas-II	3	9	TBA	40
MAT130	Calculas-II	3	10	TBA	40
MAT130	Calculas-II	3	11	TBA	40
MAT250	Calculas-III	3	1	TBA	40
MAT250	Calculas-III	3	2	TBA	40
MAT250	Calculas-III	3	3	TBA	40
MAT250	Calculas-III	3	4	TBA	40
MAT250	Calculas-III	3	5	TBA	40
MAT250	Calculas-III	3	6	TBA	40
MAT250	Calculas-III	3	7	TBA	40
MAT250	Calculas-III	3	8	TBA	40
MAT250	Calculas-III	3	9	TBA	40
MAT250	Calculas-III	3	10	TBA	40
MAT250	Calculas-III	3	11	TBA	40
MAT250	Calculas-III	3	12	TBA	40
MAT250	Calculas-III	3	13	TBA	40
MAT250	Calculas-III	3	14	TBA	40
MAT350	Equation	3	1	TBA	40
MAT350	Equation	3	2	TBA	40
MAT350	Equation	3	3	TBA	40
MAT350	Equation	3	4	TBA	40
MAT350	Equation	3	5	TBA	40
MAT350	Equation	3	6	TBA	40
MAT350	Equation	3	7	TBA	40
MAT350	Equation	3	8	TBA	40
MAT361	Statistics	3	1	TBA	40
